Body Name,Transaction Number,Account code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath & North East Somerset Council,10722533,EA1,Training,P01,Transport,METEO GROUP,02/01/2014,1180
Bath & North East Somerset Council,10722229,HA4,Responsive Maintenance PCB,P07,Community Resources,KEN BIGGS CONTRACTORS LIMITED,02/01/2014,1263.6
Bath & North East Somerset Council,10722230,HA4,Responsive Maintenance PCB,P07,Community Resources,KEN BIGGS CONTRACTORS LIMITED,02/01/2014,1263.6
Bath & North East Somerset Council,10723446,HP3,Room Hire Charges,P07,Community Resources,HILTON BATH CITY,02/01/2014,1270
Bath & North East Somerset Council,10723530,DB1,Agency Staff,P01,Transport,IAYAZ CONSULTING ENGINEERS LTD,02/01/2014,1317.75
Bath & North East Somerset Council,10722264,LK1,Fees,P03,Wellbeing,WIGAN FAMILY WELFARE,02/01/2014,1342.5
Bath & North East Somerset Council,10722768,LB3,PCB Rechargeable Subcontractors,P07,Community Resources,ATLAS HEATING (BRISTOL) LTD,02/01/2014,1395.43
Bath & North East Somerset Council,10723063,3J2,Consultants,P07,Community Resources,DIANA HATTON,02/01/2014,1500
Bath & North East Somerset Council,10721385,LV2,Contributions to Organisations,P04,Leader,TPM (SOUTH WEST) LIMITED,02/01/2014,1500
Bath & North East Somerset Council,10721948,EA1,Training,P06,Sustainable Development,ROYAL INSTITUTION OF CHARTERED SURVEYORS,02/01/2014,1575
Bath & North East Somerset Council,10721985,EA2,Professional Subscriptions,P09,Homes & Planning,CHARTERED INST OF ENVIRON HEAL,02/01/2014,1610
Bath & North East Somerset Council,10723548,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,INVACARE (UK) LTD,02/01/2014,1650
Bath & North East Somerset Council,10723347,3G1,Grants/Advances,P03,Wellbeing,STANNAH LIFT SERVICES LIMITED,02/01/2014,1780
Bath & North East Somerset Council,10723180,LJ1,Consultants Fees,P09,Homes & Planning,ATKINS LIMITED,02/01/2014,1875.45
Bath & North East Somerset Council,10723394,HA3,Planned Maintenance,P09,Homes & Planning,ZENITH INTERNATIONAL LTD,02/01/2014,1950
Bath & North East Somerset Council,10723544,3F7,External Fees,P06,Sustainable Development,JUBB CONSULTING ENGINEERS LTD,02/01/2014,2312.5
Bath & North East Somerset Council,10722841,LA1,Equipment Purchase (Non Medical),P05,Neighbourhoods,IAN SCOTT BUILDINGS,02/01/2014,2350
Bath & North East Somerset Council,10722422,3F7,External Fees,P04,Leader,AMEO LTD,02/01/2014,2375
Bath & North East Somerset Council,10722597,3F7,External Fees,P04,Leader,AMEO LTD,02/01/2014,2375
Bath & North East Somerset Council,10723634,LH5,Marketing,P06,Sustainable Development,BATH TOURISM PLUS,02/01/2014,2395
Bath & North East Somerset Council,10723356,LJ2,Legal Fees,P09,Homes & Planning,PLACE STUDIO LTD,02/01/2014,2500
Bath & North East Somerset Council,10723692,LJ4,Contracts,P03,Wellbeing,SOMER VALLEY FM COMMUNITY RADIO LTD,02/01/2014,2000
Bath & North East Somerset Council,10721372,HA4,Responsive Maintenance PCB,P07,Community Resources,OAKUS CIVIL & SURFACING LTD,02/01/2014,2532
Bath & North East Somerset Council,10722563,LP9,IT Support Costs,P04,Leader,PROB-SOLVE SOLUTIONS LTD,02/01/2014,2543.75
Bath & North East Somerset Council,10722567,LP9,IT Support Costs,P04,Leader,PROB-SOLVE SOLUTIONS LTD,02/01/2014,2543.75
Bath & North East Somerset Council,10723542,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,INVACARE (UK) LTD,02/01/2014,2750
Bath & North East Somerset Council,10723628,LJ4,Contracts,P01,Transport,S. J. & J M MUNDEN T/A GUYAN MINI BUSES,02/01/2014,2795.55
Bath & North East Somerset Council,10723524,LP5,Software Support,P04,Leader,ORACLE CORPORATION UK LTD,02/01/2014,2847.62
Bath & North East Somerset Council,10723583,3F7,External Fees,P06,Sustainable Development,JUBB CONSULTING ENGINEERS LTD,02/01/2014,3000
Bath & North East Somerset Council,10723563,LA1,Equipment Purchase (Non Medical),P02,"Early Years, Children & Youth",BCH CAMPING & LEISURE LTD,02/01/2014,3013.32
Bath & North East Somerset Council,10723514,HA4,Responsive Maintenance PCB,P07,Community Resources,MANNINGS FACILITIES MANAGEMENT LTD,02/01/2014,3175
Bath & North East Somerset Council,10723464,3F7,External Fees,P01,Transport,MOTT MACDONALD LIMITED,02/01/2014,3220.34
Bath & North East Somerset Council,10722854,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,SIDHIL LTD,02/01/2014,3270
Bath & North East Somerset Council,10723313,DB1,Agency Staff,P05,Neighbourhoods,J G DOUGALL,02/01/2014,3455
Bath & North East Somerset Council,10722459,3F7,External Fees,P06,Sustainable Development,KEY TRANSPORT CONSULTANTS LTD,02/01/2014,3500
Bath & North East Somerset Council,10723411,3F7,External Fees,P02,"Early Years, Children & Youth",ST ANDREWS PRIMARY SCHOOL,02/01/2014,10000
Bath & North East Somerset Council,10723354,LJ2,Legal Fees,P09,Homes & Planning,NO 5 CHAMBERS LTD,02/01/2014,4100
Bath & North East Somerset Council,10723589,LJ8,PCB External Fees,P06,Sustainable Development,LOW CARBON SOUTH WEST CIC,02/01/2014,5000
Bath & North East Somerset Council,10722277,LP4,Software Purchase,P02,"Early Years, Children & Youth",CAPITA IT SERVICES (BSF) LTD,02/01/2014,5280
Bath & North East Somerset Council,10722594,3C4,Building Works,P06,Sustainable Development,INTEGRAL ENGINEERING DESIGN LTD,02/01/2014,6100
Bath & North East Somerset Council,10723581,LJ4,Contracts,P01,Transport,CITISTAR LIMITED,02/01/2014,6324
Bath & North East Somerset Council,10722532,HK1,Highway Maintenance,P01,Transport,METEO GROUP,02/01/2014,6960.84
Bath & North East Somerset Council,10722795,KF2,Insurance Excess Payments,Z99,Outside Revenue Accounts,ZMCD RECEIPTS,02/01/2014,7899.57
Bath & North East Somerset Council,10723682,LW1,Rechargeable Works/Expenses,P03,Wellbeing,BNES-RE SOCIAL SERV ADMINS IMPT A/C,02/01/2014,9958.48
Bath & North East Somerset Council,10723447,HP3,Room Hire Charges,P07,Community Resources,ELIOR UK PLC,02/01/2014,11210.15
Bath & North East Somerset Council,10723361,LJ4,Contracts,P01,Transport,BRISTOL CITY COUNCIL,02/01/2014,11282.42
Bath & North East Somerset Council,10723517,3F7,External Fees,P06,Sustainable Development,TERRA FIRMA (SOUTH),02/01/2014,13190.9
Bath & North East Somerset Council,10722274,LP4,Software Purchase,P02,"Early Years, Children & Youth",CAPITA IT SERVICES (BSF) LTD,02/01/2014,16400
Bath & North East Somerset Council,10723174,HX9,Other Premises Related,P04,Leader,WOODSTOCK SW LTD,02/01/2014,16625
Bath & North East Somerset Council,10723471,HK1,Highway Maintenance,P01,Transport,SIEMENS PLC,02/01/2014,31491.08
Bath & North East Somerset Council,10722960,3F7,External Fees,P06,Sustainable Development,BLACK & VEATCH LIMITED,02/01/2014,31623.4
Bath & North East Somerset Council,10723283,DB1,Agency Staff,P07,Community Resources,COMENSURA LTD,02/01/2014,69349.02
Bath & North East Somerset Council,10723470,DB1,Agency Staff,P07,Community Resources,COMENSURA LTD,02/01/2014,69562.14
Bath & North East Somerset Council,80296806,LM8,Home Care,P03,Wellbeing,ACTIVE ASSISTANCE,03/01/2014,1200
Bath & North East Somerset Council,80296808,LM8,Home Care,P03,Wellbeing,ACTIVE ASSISTANCE,03/01/2014,1200
Bath & North East Somerset Council,80296810,LM8,Home Care,P03,Wellbeing,ACTIVE ASSISTANCE,03/01/2014,1200
Bath & North East Somerset Council,80296788,LA7,Purchases for Resale,P06,Sustainable Development,UNEX DESIGNS LTD,03/01/2014,16.53
Bath & North East Somerset Council,80296807,LM8,Home Care,P03,Wellbeing,ACTIVE ASSISTANCE,03/01/2014,1300
Bath & North East Somerset Council,80296809,LM8,Home Care,P03,Wellbeing,ACTIVE ASSISTANCE,03/01/2014,1300
Bath & North East Somerset Council,80296883,LM8,Home Care,P03,Wellbeing,AGINCARE LIVE IN CARE SERVICES LTD,03/01/2014,700
Bath & North East Somerset Council,80296883,LM8,Home Care,P03,Wellbeing,AGINCARE LIVE IN CARE SERVICES LTD,03/01/2014,700
Bath & North East Somerset Council,80296863,LL3,Supported Living,P03,Wellbeing,BAILEY EMPLOYMENT SERVICES LTD,03/01/2014,902.88
Bath & North East Somerset Council,80296864,LL3,Supported Living,P03,Wellbeing,BAILEY EMPLOYMENT SERVICES LTD,03/01/2014,902.88
Bath & North East Somerset Council,80296812,LM8,Home Care,P03,Wellbeing,BLUEBIRD CARE (BATH),03/01/2014,1039.92
Bath & North East Somerset Council,80296812,LM8,Home Care,P03,Wellbeing,BLUEBIRD CARE (BATH),03/01/2014,1039.92
Bath & North East Somerset Council,80296823,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,171
Bath & North East Somerset Council,80296823,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,171
Bath & North East Somerset Council,80296823,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,171
Bath & North East Somerset Council,80296823,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,171
Bath & North East Somerset Council,80296823,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,171
Bath & North East Somerset Council,80296822,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,310
Bath & North East Somerset Council,80296822,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,310
Bath & North East Somerset Council,80296822,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,310
Bath & North East Somerset Council,80296822,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,310
Bath & North East Somerset Council,80296822,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,310
Bath & North East Somerset Council,80296824,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,435
Bath & North East Somerset Council,80296824,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,435
Bath & North East Somerset Council,80296824,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,435
Bath & North East Somerset Council,80296824,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,435
Bath & North East Somerset Council,80296824,LM9,Day Care,P03,Wellbeing,CARE FUTURES,03/01/2014,435
Bath & North East Somerset Council,80296804,LM8,Home Care,P03,Wellbeing,COMPLETE CARE SERVICES WILTSHIRE,03/01/2014,40.52
Bath & North East Somerset Council,80296804,LM8,Home Care,P03,Wellbeing,COMPLETE CARE SERVICES WILTSHIRE,03/01/2014,547.78
Bath & North East Somerset Council,80296804,LM8,Home Care,P03,Wellbeing,COMPLETE CARE SERVICES WILTSHIRE,03/01/2014,547.78
Bath & North East Somerset Council,80296804,LM8,Home Care,P03,Wellbeing,COMPLETE CARE SERVICES WILTSHIRE,03/01/2014,547.78
Bath & North East Somerset Council,80296804,LM8,Home Care,P03,Wellbeing,COMPLETE CARE SERVICES WILTSHIRE,03/01/2014,547.78
Bath & North East Somerset Council,80296773,LA7,Purchases for Resale,P06,Sustainable Development,F H SWIFT,03/01/2014,142.8
Bath & North East Somerset Council,80296842,LM9,Day Care,P03,Wellbeing,CULVERHAY NURSING HOME,03/01/2014,70
Bath & North East Somerset Council,80296842,LM9,Day Care,P03,Wellbeing,CULVERHAY NURSING HOME,03/01/2014,280
Bath & North East Somerset Council,80296842,LM9,Day Care,P03,Wellbeing,CULVERHAY NURSING HOME,03/01/2014,280
Bath & North East Somerset Council,80296842,LM9,Day Care,P03,Wellbeing,CULVERHAY NURSING HOME,03/01/2014,280
Bath & North East Somerset Council,80296842,LM9,Day Care,P03,Wellbeing,CULVERHAY NURSING HOME,03/01/2014,280
Bath & North East Somerset Council,80296896,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296896,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296896,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296896,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296896,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296897,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296897,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296897,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296897,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296897,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,145.78
Bath & North East Somerset Council,80296844,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,270.43
Bath & North East Somerset Council,80296844,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,270.43
Bath & North East Somerset Council,80296844,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,270.43
Bath & North East Somerset Council,80296844,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,270.43
Bath & North East Somerset Council,80296843,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,336.97
Bath & North East Somerset Council,80296843,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,404.57
Bath & North East Somerset Council,80296843,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,404.57
Bath & North East Somerset Council,80296843,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,404.57
Bath & North East Somerset Council,80296843,LL3,Supported Living,P03,Wellbeing,DIMENSIONS (UK) LTD,03/01/2014,404.57
Bath & North East Somerset Council,10723170,PB4,Payments to Private Contractors,P05,Neighbourhoods,BRACKEN DOWN LTD,03/01/2014,11387.16
Bath & North East Somerset Council,80296888,LL3,Supported Living,P03,Wellbeing,HIGHTOWN PRAETORIAN & CHURCHES HOUSING ASSOC,03/01/2014,279.85
Bath & North East Somerset Council,80296888,LL3,Supported Living,P03,Wellbeing,HIGHTOWN PRAETORIAN & CHURCHES HOUSING ASSOC,03/01/2014,279.85
Bath & North East Somerset Council,80296888,LL3,Supported Living,P03,Wellbeing,HIGHTOWN PRAETORIAN & CHURCHES HOUSING ASSOC,03/01/2014,279.85
Bath & North East Somerset Council,80296888,LL3,Supported Living,P03,Wellbeing,HIGHTOWN PRAETORIAN & CHURCHES HOUSING ASSOC,03/01/2014,279.85
Bath & North East Somerset Council,80296854,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,699.88
Bath & North East Somerset Council,80296854,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,699.88
Bath & North East Somerset Council,80296854,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,699.88
Bath & North East Somerset Council,80296854,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,699.88
Bath & North East Somerset Council,80296855,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1204.59
Bath & North East Somerset Council,80296855,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1204.59
Bath & North East Somerset Council,80296855,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1204.59
Bath & North East Somerset Council,80296855,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1204.59
Bath & North East Somerset Council,80296856,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1632.89
Bath & North East Somerset Council,80296856,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1632.89
Bath & North East Somerset Council,80296856,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1632.89
Bath & North East Somerset Council,80296856,LL3,Supported Living,P03,Wellbeing,HOME FARM TRUST,03/01/2014,1632.89
Bath & North East Somerset Council,10723895,LX5,Concessionary Fares,P01,Transport,KEYNSHAM & DISTRICT DIAL-A-RIDE,03/01/2014,1777.5
Bath & North East Somerset Council,10723846,PB4,Payments to Private Contractors,P05,Neighbourhoods,CLEANSING SERVICE GROUP LTD,03/01/2014,445.34
Bath & North East Somerset Council,10723780,3F7,External Fees,P07,Community Resources,SOUTHERN ELECTRIC CONTRACTING LTD,03/01/2014,448.38
Bath & North East Somerset Council,80296772,LA7,Purchases for Resale,P06,Sustainable Development,WESTAIR REPRODUCTIONS LIMITED,03/01/2014,459
Bath & North East Somerset Council,10723845,EA1,Training,P04,Leader,EQUALITY ACADEMY,03/01/2014,459.5
Bath & North East Somerset Council,80296786,LA7,Purchases for Resale,P06,Sustainable Development,TEMPLE ISLAND COLLECTIONS,03/01/2014,467.5
Bath & North East Somerset Council,10723875,KB1,Hire of Vehicles,P01,Transport,EUROPCAR UK LTD,03/01/2014,478.24
Bath & North East Somerset Council,10723853,PB4,Payments to Private Contractors,P05,Neighbourhoods,CLEANSING SERVICE GROUP LTD,03/01/2014,483.84
Bath & North East Somerset Council,10722276,EA1,Training,P04,Leader,NOT FROM BOLTON,03/01/2014,500
Bath & North East Somerset Council,10723302,HA3,Planned Maintenance,P06,Sustainable Development,MR GERALD BYRNE T/A EMERALD FLOORING,03/01/2014,500
Bath & North East Somerset Council,10723814,LK1,Fees,P05,Neighbourhoods,BATH CATS & DOGS HOME,03/01/2014,500.16
Bath & North East Somerset Council,80296799,PG1,Rent Allowances,P07,Community Resources,CURO,03/01/2014,21176.1
Bath & North East Somerset Council,80296798,PG1,Rent Allowances,P07,Community Resources,CURO,03/01/2014,91596.97
Bath & North East Somerset Council,10723767,HP6,Water Charges,P02,"Early Years, Children & Youth",BWBSL,03/01/2014,538.21
Bath & North East Somerset Council,80296767,LA7,Purchases for Resale,P06,Sustainable Development,OPAL CRAFTS LTD,03/01/2014,540
Bath & North East Somerset Council,80296827,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,0.04
Bath & North East Somerset Council,80296831,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,0.12
Bath & North East Somerset Council,80296893,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,5.36
Bath & North East Somerset Council,80296828,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,5.4
Bath & North East Somerset Council,80296848,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296848,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296848,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296848,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296870,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296870,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296870,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296870,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,261
Bath & North East Somerset Council,80296830,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,284.55
Bath & North East Somerset Council,80296830,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,284.55
Bath & North East Somerset Council,80296830,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,284.55
Bath & North East Somerset Council,80296830,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,284.55
Bath & North East Somerset Council,80296835,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,284.55
Bath & North East Somerset Council,80296835,LL3,Supported Living,P03,Wellbeing,NATIONAL AUTISTIC SOCIETY,03/01/2014,284.55
